Human Ensembl,Mouse Ensembl,Mouse Gene,Mouse Uniprot,Human Gene,Human Uniprot
ENSG00000000005,ENSMUSG00000031250,Tnmd,Q9EP64,TNMD,Q9H2S6
ENSG00000000419,ENSMUSG00000078919,Dpm1,O70152,DPM1,O60762
ENSG00000000457,ENSMUSG00000026584,Scyl3,Q9DBQ7,SCYL3,Q8IZE3
ENSG00000000460,ENSMUSG00000041406,Firrm,Q3TQQ9,FIRRM,Q9NSG2
ENSG00000000938,ENSMUSG00000028874,Fgr,P14234,FGR,P09769
ENSG00000001036,ENSMUSG00000019810,Fuca2,Q99KR8,FUCA2,Q9BTY2
ENSG00000001084,ENSMUSG00000032350,Gclc,P97494,GCLC,P48506
ENSG00000001167,ENSMUSG00000023994,Nfya,P23708,NFYA,P23511
ENSG00000001460,ENSMUSG00000028801,Stpg1,Q9D2F5,STPG1,Q5TH74
ENSG00000001461,ENSMUSG00000028803,Nipal3,Q8BGN5,NIPAL3,Q6P499
ENSG00000001497,ENSMUSG00000057421,Las1l,A2BE28,LAS1L,Q9Y4W2
ENSG00000001561,ENSMUSG00000023961,Enpp4,Q8BTJ4,ENPP4,Q9Y6X5
ENSG00000001617,ENSMUSG00000034684,Sema3f,O88632,SEMA3F,Q13275
ENSG00000001626,ENSMUSG00000041301,Cftr,P26361,CFTR,P13569
ENSG00000001629,ENSMUSG00000040351,Ankib1,Q6ZPS6,ANKIB1,Q9P2G1
ENSG00000001630,ENSMUSG00000001467,Cyp51,Q8K0C4,CYP51A1,Q16850
ENSG00000001631,ENSMUSG00000000600,Krit1,Q6S5J6,KRIT1,O00522
ENSG00000002016,ENSMUSG00000030166,Rad52,P43352,RAD52,P43351
ENSG00000002330,ENSMUSG00000024959,Bad,Q61337,BAD,Q92934
ENSG00000002549,ENSMUSG00000039682,Lap3,Q9CPY7,LAP3,P28838
ENSG00000002587,ENSMUSG00000051022,Hs3st1,O35310,HS3ST1,O14792
ENSG00000002745,ENSMUSG00000029671,Wnt16,Q9QYS1,WNT16,Q9UBV4
ENSG00000002746,ENSMUSG00000021301,Hecw1,Q8K4P8,HECW1,Q76N89
ENSG00000002822,ENSMUSG00000029554,Mad1l1,Q9WTX8,MAD1L1,Q9Y6D9
ENSG00000002834,ENSMUSG00000038366,Lasp1,Q61792,LASP1,Q14847
ENSG00000002919,ENSMUSG00000020876,Snx11,Q91WL6,SNX11,Q9Y5W9
ENSG00000002933,ENSMUSG00000023367,Tmem176a,Q9DCS1,TMEM176A,Q96HP8
ENSG00000003056,ENSMUSG00000007458,M6pr,P24668,M6PR,P20645
ENSG00000003096,ENSMUSG00000036782,Klhl13,Q80TF4,KLHL13,Q9P2N7
ENSG00000003137,ENSMUSG00000063415,Cyp26b1,Q811W2,CYP26B1,Q9NR63
ENSG00000003147,ENSMUSG00000062995,Ica1,P97411,ICA1,Q05084
ENSG00000003249,ENSMUSG00000031970,Dbndd1,Q9CZ00,DBNDD1,Q9H9R9
ENSG00000003393,ENSMUSG00000026024,Als2,Q920R0,ALS2,Q96Q42
ENSG00000003402,ENSMUSG00000026031,Cflar,O35732,CFLAR,O15519
ENSG00000003436,ENSMUSG00000027082,Tfpi,O54819,TFPI,P10646
ENSG00000003509,ENSMUSG00000024082,Ndufaf7,Q9CWG8,NDUFAF7,Q7L592
ENSG00000003756,ENSMUSG00000032580,Rbm5,Q91YE7,RBM5,P52756
ENSG00000003987,ENSMUSG00000039431,Mtmr7,Q9Z2C9,MTMR7,Q9Y216
ENSG00000003989,ENSMUSG00000031596,Slc7a2,P18581,SLC7A2,P52569
ENSG00000004059,ENSMUSG00000020440,Arf5,P84084,ARF5,P84085
ENSG00000004139,ENSMUSG00000050132,Sarm1,Q6PDS3,SARM1,Q6SZW1
ENSG00000004142,ENSMUSG00000001100,Poldip2,Q91VA6,POLDIP2,Q9Y2S7
ENSG00000004399,ENSMUSG00000030123,Plxnd1,Q3UH93,PLXND1,Q9Y4D7
ENSG00000004455,ENSMUSG00000028792,Ak2,Q9WTP6,AK2,P54819
ENSG00000004468,ENSMUSG00000029084,Cd38,P56528,CD38,P28907
ENSG00000004478,ENSMUSG00000030357,Fkbp4,P30416,FKBP4,Q02790
ENSG00000004487,ENSMUSG00000036940,Kdm1a,Q6ZQ88,KDM1A,O60341
ENSG00000004660,ENSMUSG00000020785,Camkk1,Q8VBY2,CAMKK1,Q8N5S9
ENSG00000004700,ENSMUSG00000030243,Recql,Q9Z129,RECQL,P46063
ENSG00000004766,ENSMUSG00000001376,Vps50,Q8CI71,VPS50,Q96JG6
ENSG00000004776,ENSMUSG00000036854,Hspb6,Q5EBG6,HSPB6,O14558
ENSG00000004777,ENSMUSG00000036882,Arhgap33,Q80YF9,ARHGAP33,O14559
ENSG00000004779,ENSMUSG00000030869,Ndufab1,Q9CR21,NDUFAB1,O14561
ENSG00000004799,ENSMUSG00000019577,Pdk4,O70571,PDK4,Q16654
ENSG00000004809,ENSMUSG00000019834,Slc22a16,Q497L8,SLC22A16,Q86VW1
ENSG00000004838,ENSMUSG00000010044,Zmynd10,Q99ML0,ZMYND10,O75800
ENSG00000004846,ENSMUSG00000072791,Abcb5,B5X0E4,ABCB5,Q2M3G0
ENSG00000004848,ENSMUSG00000035277,Arx,O35085,ARX,Q96QS3
ENSG00000004864,ENSMUSG00000015112,Slc25a13,Q9QXX4,SLC25A13,Q9UJS0
ENSG00000004866,ENSMUSG00000029534,St7,Q99M96,ST7,Q9NRC1
ENSG00000004897,ENSMUSG00000020687,Cdc27,A2A6Q5,CDC27,P30260
ENSG00000004939,ENSMUSG00000006574,Slc4a1,P04919,SLC4A1,P02730
ENSG00000004948,ENSMUSG00000023964,Calcr,Q60755,CALCR,P30988
ENSG00000004961,ENSMUSG00000031352,Hccs,P53702,HCCS,P53701
ENSG00000004975,ENSMUSG00000020888,Dvl2,Q60838,DVL2,O14641
ENSG00000005001,ENSMUSG00000045027,Prss22,Q9ER10,PRSS22,Q9GZN4
ENSG00000005007,ENSMUSG00000058301,Upf1,Q9EPU0,UPF1,Q92900
ENSG00000005020,ENSMUSG00000059182,Skap2,Q3UND0,SKAP2,O75563
ENSG00000005022,ENSMUSG00000016319,Slc25a5,P51881,SLC25A5,P05141
ENSG00000005073,ENSMUSG00000038210,Hoxa11,P31311,HOXA11,P31270
ENSG00000005100,ENSMUSG00000040620,Dhx33,Q80VY9,DHX33,Q9H6R0
ENSG00000005102,ENSMUSG00000001493,Meox1,P32442,MEOX1,P50221
ENSG00000005175,ENSMUSG00000022466,Rpap3,Q9D706,RPAP3,Q9H6T3
ENSG00000005187,ENSMUSG00000030935,Acsm3,Q3UNX5,ACSM3,Q53FZ2
ENSG00000005194,ENSMUSG00000031781,Ciapin1,Q8WTY4,CIAPIN1,Q6FI81
ENSG00000005206,ENSMUSG00000035206,Sppl2b,Q3TD49,SPPL2B,Q8TCT7
ENSG00000005238,ENSMUSG00000036002,Atosb,Q8BR27,ATOSB,Q7L5A3
ENSG00000005243,ENSMUSG00000018672,Copz2,Q9JHH9,COPZ2,Q9P299
ENSG00000005249,ENSMUSG00000002997,Prkar2b,P31324,PRKAR2B,P31323
ENSG00000005302,ENSMUSG00000031358,Msl3,Q9WVG9,MSL3,Q8N5Y2
ENSG00000005379,ENSMUSG00000034156,Tspoap1,Q7TNF8,TSPOAP1,O95153
ENSG00000005381,ENSMUSG00000009350,Mpo,P11247,MPO,P05164
ENSG00000005421,ENSMUSG00000002588,Pon1,P52430,PON1,P27169
ENSG00000005436,ENSMUSG00000035125,Gcfc2,Q8BKT3,GCFC2,P16383
ENSG00000005448,ENSMUSG00000030032,Wdr54,Q9R0D8,WDR54,Q9H977
ENSG00000005469,ENSMUSG00000003623,Crot,Q9DC50,CROT,Q9UKG9
ENSG00000005471,ENSMUSG00000042476,Abcb4,P21440,ABCB4,P21439
ENSG00000005483,ENSMUSG00000029004,Kmt2e,Q3UG20,KMT2E,Q8IZD2
ENSG00000005486,ENSMUSG00000039917,Rhbdd2,Q8VEK2,RHBDD2,Q6NTF9
ENSG00000005513,ENSMUSG00000024176,Sox8,Q04886,SOX8,P57073
ENSG00000005700,ENSMUSG00000035941,Ibtk,Q6ZPR6,IBTK,Q9P2D0
ENSG00000005810,ENSMUSG00000033004,Mycbp2,Q7TPH6,MYCBP2,O75592
ENSG00000005812,ENSMUSG00000022124,Fbxl3,Q8C4V4,FBXL3,Q9UKT7
ENSG00000005844,ENSMUSG00000030830,Itgal,P24063,ITGAL,P20701
ENSG00000005882,ENSMUSG00000038967,Pdk2,Q9JK42,PDK2,Q15119
ENSG00000005884,ENSMUSG00000001507,Itga3,Q62470,ITGA3,P26006
ENSG00000005889,ENSMUSG00000079509,Zfx,P17012,ZFX,P17010
ENSG00000005893,ENSMUSG00000016534,Lamp2,P17047,LAMP2,P13473
ENSG00000005961,ENSMUSG00000034664,Itga2b,Q9QUM0,ITGA2B,P08514
